source_id,title,city,state,asking_price,annual_revenue,ebitda,practice_type,description,broker_name,listing_url,exam_rooms,listing_code
synergy-thriving-womens-health-practice-multi-physician-ob-gyn,Women’s Health Practice – Multi-Physician OB/GYN and Urogynecology Clinic,,FL,18000000,6578488,3376803,OB/GYN,"Women’s Health Practice – Multi-Physician OB/GYN and Urogynecology Clinic $18,000,000 Net Cash Flow: $3,376,803 This is a rare opportunity to acquire a well-established, multi-physician women’s health practice in one of Florida’s fastest-growing healthcare markets. The clinic operates as a comprehensive women’s health destination, combining OB/GYN, urogynecology, robotic and laparoscopic… Health Care Central, Florida Learn More",Synergy Business Brokers,https://synergybb.com/listings/thriving-womens-health-practice-multi-physician-ob-gyn/,,
synergy-prominent-40-year-pediatric-practice-ny,"Prominent 40-Year Pediatric Practice, Real Estate Available",,NY,6800000,5830000,1650000,Pediatrics,"Prominent 40-Year Pediatric Practice, Real Estate Available $6,800,000 Net Cash Flow: $1,650,000 Tremendous opportunity to purchase a long-standing, prominent pediatric practice. The MD Owner has owned and worked in the practice for over 40 years but is set to retire. The seller will stay on for a… Health Care New York Learn More",Synergy Business Brokers,https://synergybb.com/listings/prominent-40-year-pediatric-practice-ny/,,
synergy-orthopedic-and-personal-injury-practice-multidisciplinary-fl,Orthopedic And Personal-Injury Medical Practice | Multidisciplinary | 50% Adj. EBITDA Margin,,FL,6830000,5621000,2811000,Multi-Specialty,"Orthopedic And Personal-Injury Medical Practice | Multidisciplinary | 50% Adj. EBITDA Margin $6,830,000 Net Cash Flow: $2,811,000 An opportunity to acquire a leading multidisciplinary orthopedic and personal-injury medical practice in Orlando, Florida, with over 40 years of continuous family ownership. The Company operates three fully equipped clinics across Central Florida, delivering vertically… Health Care Orlando, Florida Learn More",Synergy Business Brokers,https://synergybb.com/listings/orthopedic-and-personal-injury-practice-multidisciplinary-fl/,,
synergy-multi-site-pain-management-and-radiology-practice-nj,Pain Management and Radiology Practice: Multi-Site,,NJ,4000000,2922539,927389,Multi-Specialty,"Pain Management and Radiology Practice: Multi-Site $4,000,000 Net Cash Flow: $927,389 This is an established, multi-location practice specializing in comprehensive pain management and interventional radiology. The practice has grown from a single practitioner to a team of three providers and operates across three main facilities. It… Health Care New Jersey Learn More",Synergy Business Brokers,https://synergybb.com/listings/multi-site-pain-management-and-radiology-practice-nj/,,
synergy-primary-care-specialty-medical-practice-nj,Primary Care and Specialty Medical Practice in Southern New Jersey,,NJ,1700000,1287879,705368,Internal Medicine,"Primary Care and Specialty Medical Practice in Southern New Jersey $1,700,000 Net Cash Flow: $705,368 This is an exceptional opportunity to acquire a well-established primary care and specialty medical practice with over 25 years of operating history in Southern New Jersey. Founded in 1999, the practice has built a strong… Health Care New Jersey Learn More",Synergy Business Brokers,https://synergybb.com/listings/primary-care-specialty-medical-practice-nj/,,
synergy-aba-services-provider-supporting-the-youth-community-ma,"ABA Services Provider supporting the Youth Community, Rapidly Growing",,MA,1300000,1414000,,Other,"ABA Services Provider supporting the Youth Community, Rapidly Growing $1,300,000 Established in 2022, this fully credentialed ABA services provider has achieved exponential growth each year since its inception. The practice is focused on helping children and adolescents with autism and other developmental delays to become… Health Care Massachusetts Learn More",Synergy Business Brokers,https://synergybb.com/listings/aba-services-provider-supporting-the-youth-community-ma/,,
synergy-full-service-mental-and-behavioral-health-psychology-practic,Mental And Behavioral Health Psychology Practice,,NY,3300000,2762000,825000,Other,"Mental And Behavioral Health Psychology Practice $3,300,000 Net Cash Flow: $825,000 This is a unique opportunity. Owner is seeking the right opportunity/partner to take this practice to the next level. Owner is willing to stay on for several years. The ideal structure would allow the owner… Health Care Albany County, New York Learn More",Synergy Business Brokers,https://synergybb.com/listings/full-service-mental-and-behavioral-health-psychology-practice/,,
synergy-physical-therapy-practice-for-sale-md,"Physical Therapy Practice, Established Referrals",,MD,1650000,662850,426897,Other,"Physical Therapy Practice, Established Referrals $1,650,000 Net Cash Flow: $426,897 This is a privately owned and independent physical therapy practice that launched in 1990 and has continued under the original owner. It is a mature and stable practice with room for expansion. The current practice… Health Care Maryland Learn More",Synergy Business Brokers,https://synergybb.com/listings/physical-therapy-practice-for-sale-md/,,
synergy-behavioral-health-psychological-services-practice-nj,Behavioral Health and Psychological Services Practice,,NJ,1100000,1018000,310000,Other,"Behavioral Health and Psychological Services Practice $1,100,000 Net Cash Flow: $310,000 This is a unique opportunity to acquire a highly regarded behavioral health practice with a long-standing reputation for delivering quality psychological and therapeutic services throughout its market. With decades of successful operations, the practice has… Health Care New Jersey Learn More",Synergy Business Brokers,https://synergybb.com/listings/behavioral-health-psychological-services-practice-nj/,,
synergy-behavioral-health-practice-strong-recurring-revenue-oh,"Behavioral Health Practice, Strong Recurring Revenue, Option to Purchase Real Estate",,OH,1000000,2259471,291007,Other,"Behavioral Health Practice, Strong Recurring Revenue, Option to Purchase Real Estate $1,000,000 Net Cash Flow: $291,007 This well-established outpatient behavioral health practice presents an exceptional acquisition opportunity for strategic buyers, private equity groups, healthcare organizations, or licensed behavioral health operators seeking an established platform with strong recurring revenue and significant expansion… Health Care Ohio Learn More",Synergy Business Brokers,https://synergybb.com/listings/behavioral-health-practice-strong-recurring-revenue-oh/,,
