source_id,title,city,state,asking_price,annual_revenue,ebitda,practice_type,description,broker_name,listing_url,exam_rooms,listing_code
doctorsbroker-turnkey-podiatric-practice-in-virginia-beach-va,"Turnkey Podiatric Practice in Virginia Beach, VA",Turnkey Podiatric Practice In Virginia Beach,VA,2100000,,,Other,"For Sale: Turnkey Podiatric Practice in Virginia Beach, VA $2,100,000.00",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-turnkey-podiatric-practice-in-virginia-beach-va,,
doctorsbroker-solo-interventional-pain-management-practice-in-woodbury-new,"Solo Interventional Pain Management Practice in Woodbury, New Jersey",Solo Interventional Pain Management Practice In Woodbury,NJ,550000,,,Other,"For Sale: Solo Interventional Pain Management Practice in Woodbury, New Jersey $550,000.00",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-solo-interventional-pain-management-practice-in-woodbury-new-jersey,,
doctorsbroker-established-urgent-care-medical-practice-katy-texas,"ESTABLISHED URGENT CARE MEDICAL PRACTICE - KATY, TEXAS",Established Urgent Care Medical Practice - Katy,TX,500000,,,Urgent Care,"For Sale: ESTABLISHED URGENT CARE MEDICAL PRACTICE - KATY, TEXAS $500,000.00",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-established-urgent-care-medical-practice--katy-texas,,
doctorsbroker-exceptional-orthopedic-hand-surgery-practice-in-bellevue-was,Exceptional Orthopedic Hand Surgery Practice in Bellevue Washington,,WA,,,,Other,For Sale: Exceptional Orthopedic Hand Surgery Practice in Bellevue Washington For Sale: Exceptional Orthopedic Hand Surgery Practice in Bellevue Was...,Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-exceptional-orthopedic-hand-surgery-practice-in-bellevue-washington,,
doctorsbroker-aesthetics-dermatology-practice-located-in-naples-florida,Aesthetics dermatology practice located in Naples Florida,,FL,,,,Other,For Sale: Aesthetics dermatology practice located in Naples Florida For Sale: Leading aesthetics dermatology practice located in Naples Fl...,Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-aesthetics-dermatology-practice-located-in-naples-florida,,
doctorsbroker-long-established-single-provider-pediatric-practice-located-,"Long-established, single-provider pediatric practice located in Temecula, California",Single-Provider Pediatric Practice Located In Temecula,CA,,,,Pediatrics,"For Sale: Long-established, single-provider pediatric practice located in Temecula, California For Sale: Long-established, single-provider pediatric practice located...",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-long-established-single-provider-pediatric-practice-located-in-temecula-california,,
doctorsbroker-established-family-medicine-practice,Established Family Medicine Practice,,,,,,Family Medicine,"For Sale: Established Family Medicine Practice for Sale in Prime Oviedo, FL. 101 Lake Hayes Rd, Ste 105 For Sale: Established Family Medicine Practice for Sale in Prime Ovied...",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-established-family-medicine-practice-for-sale-in-prime-oviedo-fl-,,
doctorsbroker-established-infectious-disease-practice-kissimmee-fl,"Established Infectious Disease Practice – Kissimmee, FL",Kissimmee,FL,,,,Other,"For Sale: Established Infectious Disease Practice – Kissimmee, FL 111 kissimmiee For Sale: Established Infectious Disease Practice – Kissimmee, FL",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-established-infectious-disease-practice-–-kissimmee-fl,,
doctorsbroker-ophthalmology-and-laser-surgery-practice-broward-county-fl,"Ophthalmology and Laser Surgery Practice – Broward County, FL",Broward County,FL,,,,Other,"For Sale: Ophthalmology and Laser Surgery Practice – Broward County, FL 2100 NE 36th St, Lighthouse Point, FL 33064 For Sale: Ophthalmology and Laser Surgery Practice – Broward County, F...",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-ophthalmology-and-laser-surgery-practice-–-broward-county-fl,,
doctorsbroker-primary-care-internal-medicine-practice-fairfax-county-va,"Primary Care / Internal Medicine Practice – Fairfax County, VA",Fairfax County,VA,,,,Internal Medicine,"For Sale: Primary Care / Internal Medicine Practice – Fairfax County, VA 2751 Prosperity Ave, Ste 440 For Sale: Primary Care / Internal Medicine Practice – Fairfax County, ...",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-primary-care-~-internal-medicine-practice-–-fairfax-county-va,,
doctorsbroker-rheumatology-practice-orlando-florida,"Rheumatology Practice – Orlando, Florida",Orlando,FL,,,,Other,"For Sale: Rheumatology Practice – Orlando, Florida 3160 Southgate Commerce Blvd, For Sale: Rheumatology Practice – Orlando, Florida",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-rheumatology-practice-–-orlando-florida,,
doctorsbroker-pulmonology-practice-in-west-coast-of-florida,Pulmonology Practice in West Coast of Florida,,FL,1500000,,,Other,"For sale: Pulmonology Practice in West Coast of Florida 3410 Tamiami Trl, Unit 2 For sale: Pulmonology Practice in West Coast of Florida with $1.5 mill...",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-pulmonology-practice-in-west-coast-of-florida,,
doctorsbroker-pediatric-practice-in-half-moon-bay-ca,"Pediatric practice in Half Moon Bay, CA",Pediatric Practice In Half Moon Bay,CA,,,,Pediatrics,"For Sale: Pediatric practice in Half Moon Bay, CA 40A Purissima St, For Sale: Pediatric practice in Half Moon Bay, CA",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-pediatric-practice-in-half-moon-bay-ca,,
doctorsbroker-established-concierge-internal-medicine-practice-vernon-hill,"Established Concierge Internal Medicine Practice – Vernon Hills, IL",Vernon Hills,IL,,,,Concierge,"For Sale: Established Concierge Internal Medicine Practice – Vernon Hills, IL 6 EAST PHILLIP RD For Sale: Established Concierge Internal Medicine Practice – Vernon H...",Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-established-concierge-internal-medicine-practice-–-vernon-hills-il,,
doctorsbroker-general-ophthalmology-practice-in-las-vegas,General Ophthalmology Practice in Las Vegas,,,,,,Other,For Sale: General Ophthalmology Practice in Las Vegas 6080 S Fort Apache Rd #100 For Sale: General Ophthalmology Practice in Las Vegas,Doctors Broker (Medical Practice Brokers),https://doctorsbroker.com/medical-practices/for-sale-general-ophthalmology-practice-in-las-vegas,,
