source_id,title,city,state,asking_price,annual_revenue,ebitda,practice_type,description,broker_name,listing_url,exam_rooms,listing_code
tinsley-family-medicine-practice-for-sale-southern-ca,Established Southern California Family Medicine Practice,,CA,,707940,348201,Family Medicine,"Annual Gross Revenue – $707,940 EBITDA – $348,201",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/family-medicine-practice-for-sale-southern-ca/,,
tinsley-family-medicine-practice-for-sale-western-oklahoma,Established Family Medicine & Concierge Practice – Western Oklahoma,,OK,,2500000,642422,Concierge,"Annual Gross Revenue – $2.5M EBITDA – $642,422",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/family-medicine-practice-for-sale-western-oklahoma/,,
tinsley-premier-multi-location-medical-weight-management-wellness-ca,Premier Multi-Location Medical Weight Management & Wellness Platform in Northern California,,CA,,1517000,351000,Other,"Annual Gross Revenue – $1.517M EBITDA – $351,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/premier-multi-location-medical-weight-management-wellness-california/,,
tinsley-san-antonio-primary-care-aesthetics-weight-loss-practice,San Antonio Primary Care & Aesthetics/Weight Loss Practice,,,,7200000,1520000,Internal Medicine,Annual Gross Revenue – $7.2M EBITDA – $1.52M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/san-antonio-primary-care-aesthetics-weight-loss-practice/,,
tinsley-multiple-provider-internal-medicine-practice-in-the-woodland,"Multiple Provider Internal Medicine Practice in The Woodlands, Texas",Multiple Provider Internal Medicine Practice In The Woodlands,TX,,1450000,553000,Internal Medicine,"Annual Gross Revenue – $1.45M EBITDA – $553,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/multiple-provider-internal-medicine-practice-in-the-woodlands-texas/,,
tinsley-multiple-provider-internal-medicine-practice-for-sale-in-san,Multiple Provider Internal Medicine Practice,,,,1600000,520000,Internal Medicine,"Annual Gross Revenue – $1.6M EBITDA – $520,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/multiple-provider-internal-medicine-practice-for-sale-in-san-antonio/,,
tinsley-south-california-behavioral-health-practice,Southern California Behavioral Health Practice,,CA,,4000000,550000,Other,"Annual Gross Revenue – $4M EBITDA – $550,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/south-california-behavioral-health-practice/,,
tinsley-dermatology-practice-for-sale-florida,Dermatology Practice in Florida,,FL,,4000000,2000000,Other,Annual Gross Revenue – $4M EBITDA – $2M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/dermatology-practice-for-sale-florida/,,
tinsley-solo-cardiology-practice-in-central-texas,Solo-Cardiology Practice in Central Texas,,TX,,1600000,,Other,Annual Gross Revenue – $1.6M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/solo-cardiology-practice-in-central-texas/,,
tinsley-pain-management-center-in-arizona,Pain Management Center in Arizona,,AZ,,3000000,543000,Other,"Annual Gross Revenue – $3M EBITDA – $543,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/pain-management-center-in-arizona/,,
tinsley-multi-location-dermatology-aesthetic-medicine-practice-in-mo,Multi-Location Dermatology & Aesthetic Medicine Practice in Montana,,MT,,41000000,,Other,Annual Gross Revenue – $41M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/multi-location-dermatology-aesthetic-medicine-practice-in-montana/,,
tinsley-multi-provider-pediatric-practice-for-sale-in-atlanta-metro-,Multi-Provider Pediatric Practice for Sale in Atlanta Metro Area,,,,5700000,1400000,Pediatrics,Annual Gross Revenue – $5.7M EBITDA – $1.4M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/multi-provider-pediatric-practice-for-sale-in-atlanta-metro-area/,,
tinsley-neurology-practice-for-sale-denver-co,"Neurology Practice for Sale – Denver, CO",Denver,CO,,5300000,2000000,Other,Annual Gross Revenue – $5.3M EBITDA – $2M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/neurology-practice-for-sale-denver-co/,,
tinsley-multi-provider-primary-care-sleep-medicine-practice-southern,Multi-Provider Primary Care & Sleep Medicine Practice in Southern CA,,CA,,3100000,874000,Internal Medicine,"Annual Gross Revenue – $3.1M EBITDA – $874,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/multi-provider-primary-care-sleep-medicine-practice-southern-ca/,,
tinsley-high-performing-multi-provider-medical-practice-in-metro-atl,"High-Performing Multi-Provider Medical Practice in Metro Atlanta, Georgia",High-Performing Multi-Provider Medical Practice In Metro Atlanta,GA,,5700000,1400000,Other,Annual Gross Revenue – $5.7M EBITDA – $1.4M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/high-performing-multi-provider-medical-practice-in-metro-atlanta/,,
tinsley-multi-provider-ent-sleep-medicine-practice-in-santa-maria-ca,"Multi-Provider ENT & Sleep Medicine Practice in Santa Maria, CA",Sleep Medicine Practice In Santa Maria,CA,,4600000,,Other,Annual Gross Revenue – $4.6M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/multi-provider-ent-sleep-medicine-practice-in-santa-maria-ca/,,
tinsley-dual-physician-west-houston-psychiatry-practice-for-sale,Dual-Physician West Houston Psychiatry Practice for Sale,,,,1200000,,Other,Annual Gross Revenue – $1.2M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/dual-physician-west-houston-psychiatry-practice-for-sale/,,
tinsley-asc-cosmetic-surgery-medical-spa-practice-for-sale-northern-,ASC Cosmetic Surgery & Medical Spa Practice for Sale – Northern Virginia,,VA,,1500000,,Other,Annual Gross Revenue – $1.5M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/asc-cosmetic-surgery-medical-spa-practice-for-sale-northern-virginia/,,
tinsley-beverly-hills-facial-feminization-plastic-surgery-practice-f,Beverly Hills Facial Feminization Plastic Surgery Practice for Sale,,,,4000000,,Other,Annual Gross Revenue – $4M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/beverly-hills-facial-feminization-plastic-surgery-practice-for-sale/,,
tinsley-new-orleans-retina-specialty-medical-practice-for-sale,"New Orleans Retina Specialty Medical Practice for Sale – Established, Profitable, and Fully Equipped",,,,4400000,,Other,Annual Gross Revenue – $4.4M Sale Price – $1.2M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/new-orleans-retina-specialty-medical-practice-for-sale/,,
tinsley-ophthalmology-and-optometry-practice-for-sale-in-texas-panha,Highly Profitable Ophthalmology and Optometry Practice for Sale in Texas Panhandle,,TX,,1099000,,Other,"Annual Gross Revenue – $1.099M Sale Price – $700,000",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/ophthalmology-and-optometry-practice-for-sale-in-texas-panhandle/,,
tinsley-pulmonary-and-sleep-medicine-practice-for-sale-in-north-texa,Profitable Pulmonary and Sleep Medicine Practice for Sale in North Texas-$2M Gross Annual Revenue,,TX,,2093999,172400,Other,"Annual Gross Revenue – $2.094M EBITDA – $172,400",Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/pulmonary-and-sleep-medicine-practice-for-sale-in-north-texas/,,
tinsley-central-pa-regenerative-medicine-practice-for-sale,"Central, PA. Regenerative Medicine Practice For Sale – $2.3M Annual Gross Revenue",Central,PA,,3000000,,Other,Annual Gross Revenue – $3M Sale Price – $2.3M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/central-pa-regenerative-medicine-practice-for-sale/,,
tinsley-north-carolina-multi-location-pediatric-practice-for-sale-tw,North Carolina Multi-Location Pediatric Practice for Sale – Two Locations,,NC,,4600000,,Pediatrics,Annual Gross Revenue – $4.6M,Tinsley Medical Practice Brokers,https://tinsleymedicalpracticebrokers.com/practice/north-carolina-multi-location-pediatric-practice-for-sale-two-locations/,,
