source_id,title,city,state,asking_price,annual_revenue,ebitda,practice_type,description,broker_name,listing_url,exam_rooms,listing_code
strategic-turnkey-family-practice-omaha-ne-metro-2-8m-rev-runs-w-o-own,"Turnkey Family Practice, Omaha NE Metro | $2.8M Rev, Runs w/o Owner",,NE,,2800000,,Family Medicine,"Turnkey Family Practice, Omaha NE Metro | $2.8M Rev, Runs w/o Owner",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/turnkey-family-practice-omaha-ne-metro-2-8m-rev-runs-w-o-owner/,,
strategic-west-phoenix-primary-care-3022-patients-seller-financing,"West Phoenix Primary Care: 3,022 Patients, Seller Financing",,,,,,Internal Medicine,"West Phoenix Primary Care: 3,022 Patients, Seller Financing",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/west-phoenix-primary-care-3022-patients-seller-financing/,,
strategic-high-growth-sw-florida-pediatric-practice-3m-rev-200-waitlis,"High-Growth SW Florida Pediatric Practice - $3M Rev, 200+ Waitlist",,FL,,3000000,,Pediatrics,"High-Growth SW Florida Pediatric Practice - $3M Rev, 200+ Waitlist",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/high-growth-sw-florida-pediatric-practice-3m-rev-200-waitlist/,,
strategic-profitable-allergy-immunology-practice-growth-upside-central,"Profitable Allergy & Immunology Practice - Growth Upside, Central AZ",,AZ,,,,Other,"Profitable Allergy & Immunology Practice - Growth Upside, Central AZ",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/profitable-allergy-immunology-practice-growth-upside-central-az/,,
strategic-metro-phoenix-primary-care-platform-3756-medicare-lives-vbc,"Metro Phoenix Primary Care Platform - 3,756 Medicare Lives, VBC",,,,,,Internal Medicine,"Metro Phoenix Primary Care Platform - 3,756 Medicare Lives, VBC",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/metro-phoenix-primary-care-platform-3756-medicare-lives-vbc/,,
strategic-profitable-value-based-primary-care-practice-broward-county-,"Profitable Value-Based Primary Care Practice - Broward County, FL",,FL,,,,Internal Medicine,"Profitable Value-Based Primary Care Practice - Broward County, FL",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/profitable-value-based-primary-care-practice-broward-county-fl/,,
strategic-mohs-surgery-derm-coastal-ct-6-7m-collections-3-4m-sde,Mohs & Derm Practice | Coastal CT | ~$1.9M SDE | Independent,,CT,,6700000,3400000,Other,Mohs & Derm Practice | Coastal CT | ~$1.9M SDE | Independent,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/mohs-surgery-derm-coastal-ct-6-7m-collections-3-4m-sde/,,
strategic-integrated-vbc-primary-care-obesity-med-aco-1-85m-phoenix-az,Integrated VBC Primary Care | Obesity Med | ACO | $1.85M | Phoenix AZ,,AZ,,,,Internal Medicine,Integrated VBC Primary Care | Obesity Med | ACO | $1.85M | Phoenix AZ,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/integrated-vbc-primary-care-obesity-med-aco-1-85m-phoenix-az/,,
strategic-concierge-internal-medicine-900-members-m-f-w-massachusetts,Concierge Internal Medicine | 900 Members | M–F | W. Massachusetts,,MA,,,,Concierge,Concierge Internal Medicine | 900 Members | M–F | W. Massachusetts,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/concierge-internal-medicine-900-members-m-f-w-massachusetts/,,
strategic-florida-internal-medicine-practice-35-yrs-seller-financing-5,"Florida Internal Medicine Practice — 35 Yrs, Seller Financing, $525K",,FL,,,,Internal Medicine,"Florida Internal Medicine Practice — 35 Yrs, Seller Financing, $525K",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/florida-internal-medicine-practice-35-yrs-seller-financing-525k/,,
strategic-17-yr-concierge-family-practice-257k-sde-phoenix-az,"17-Yr Concierge Family Practice - $257K SDE - Phoenix, AZ",,AZ,,,,Concierge,"17-Yr Concierge Family Practice - $257K SDE - Phoenix, AZ",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/17-yr-concierge-family-practice-257k-sde-phoenix-az/,,
strategic-865k-sde-on-2-days-week-50-year-allergy-asthma-practice,$865K SDE on 2 Days/Week | 50-Year Allergy & Asthma Practice,,,,,,Other,$865K SDE on 2 Days/Week | 50-Year Allergy & Asthma Practice,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/865k-sde-on-2-days-week-50-year-allergy-asthma-practice/,,
strategic-ca-family-geriatric-practice-w-aledade-aco-367k-sde-on-1-1m,CA Family/Geriatric Practice w/ Aledade ACO - $367K SDE on $1.1M,,CA,,,,Internal Medicine,CA Family/Geriatric Practice w/ Aledade ACO - $367K SDE on $1.1M,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/ca-family-geriatric-practice-w-aledade-aco-367k-sde-on-1-1m/,,
strategic-established-pediatric-practice-35-years-dfw-1m-revenue,Established Pediatric Practice - 35 Years - DFW - $1M+ Revenue,,,,1000000,,Pediatrics,Established Pediatric Practice - 35 Years - DFW - $1M+ Revenue,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/established-pediatric-practice-35-years-dfw-1m-revenue/,,
strategic-2128-medicare-lives-est-1998-internal-medicine-phoenix-metro,"2,128 Medicare Lives | Est. 1998 Internal Medicine | Phoenix Metro",,,,,,Internal Medicine,"2,128 Medicare Lives | Est. 1998 Internal Medicine | Phoenix Metro",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/2128-medicare-lives-est-1998-internal-medicine-phoenix-metro/,,
strategic-thriving-gulf-coast-endocrinology-3500-patients-retiring-md,"Thriving Gulf Coast Endocrinology | 3,500 Patients | Retiring MD",,MD,,,,Other,"Thriving Gulf Coast Endocrinology | 3,500 Patients | Retiring MD",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/thriving-gulf-coast-endocrinology-3500-patients-retiring-md/,,
strategic-premier-female-pelvic-medicine-wellness-practice-nw-florida,Premier Female Pelvic Medicine & Wellness Practice | NW Florida,,FL,,,,Other,Premier Female Pelvic Medicine & Wellness Practice | NW Florida,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/premier-female-pelvic-medicine-wellness-practice-nw-florida/,,
strategic-established-family-medicine-austin-area-914-senior-pts-1-2m-,Established Family Medicine | Austin Area | 914 Senior Pts | $1.2M Rev,,,,1200000,,Family Medicine,Established Family Medicine | Austin Area | 914 Senior Pts | $1.2M Rev,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/established-family-medicine-austin-area-914-senior-pts-1-2m-rev/,,
strategic-est-27-yr-family-medicine-personal-injury-practice-east-vall,Est. 27-Yr Family Medicine & Personal Injury Practice – East Valley,,,,,,Family Medicine,Est. 27-Yr Family Medicine & Personal Injury Practice – East Valley,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/est-27-yr-family-medicine-personal-injury-practice-east-valley/,,
strategic-turnkey-pediatric-practice-3k-patients-privia-health-platfor,Turnkey Pediatric Practice | 3K Patients | Privia Health Platform,,,,,,Pediatrics,Turnkey Pediatric Practice | 3K Patients | Privia Health Platform,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/turnkey-pediatric-practice-3k-patients-privia-health-platform/,,
strategic-est-41-year-family-medicine-practice-for-sale-arlington-tx-d,"Est. 41-Year Family Medicine Practice for Sale – Arlington, TX (DFW)",,TX,,,,Family Medicine,"Est. 41-Year Family Medicine Practice for Sale – Arlington, TX (DFW)",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/est-41-year-family-medicine-practice-for-sale-arlington-tx-dfw/,,
strategic-1700-medicare-lives-40-year-family-medicine-practice-in-nort,"1,700+ Medicare Lives 40-Year Family Medicine Practice in Northern DE",,IN,,,,Family Medicine,"1,700+ Medicare Lives 40-Year Family Medicine Practice in Northern DE",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/1700-medicare-lives-40-year-family-medicine-practice-in-northern-de/,,
strategic-premier-north-atlanta-pediatric-practice-strong-cash-flow,Premier North Atlanta Pediatric Practice - Strong Cash Flow,,,,,,Pediatrics,Premier North Atlanta Pediatric Practice - Strong Cash Flow,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/premier-north-atlanta-pediatric-practice-strong-cash-flow/,,
strategic-flagstaff-medical-practice-880-senior-lives-ready-for-growth,Turnkey Flagstaff Practice with 880+ Attributed Senior Lives,,,,,,Other,Turnkey Flagstaff Practice with 880+ Attributed Senior Lives,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/flagstaff-medical-practice-880-senior-lives-ready-for-growth/,,
strategic-established-market-leading-podiatry-practice-25-years-south-,Established Market Leading Podiatry Practice - 25+ Years - South Texas,,TX,,,,Other,Established Market Leading Podiatry Practice - 25+ Years - South Texas,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/established-market-leading-podiatry-practice-25-years-south-texas/,,
strategic-fl-mens-health-practice-3-3m-rev-17-locations-100-cash-pay,"Scalable Florida Men’s Health Practice – $3.3M Revenue, Multi-Location, Cash-Pay",,FL,,3300000,,Other,"Scalable Florida Men’s Health Practice – $3.3M Revenue, Multi-Location, Cash-Pay",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/fl-mens-health-practice-3-3m-rev-17-locations-100-cash-pay/,,
strategic-thriving-direct-primary-care-practice-in-ada-county-100-fina,Premier Direct Primary Care Practice | Ada County,,IN,,,,Concierge,Premier Direct Primary Care Practice | Ada County,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/thriving-direct-primary-care-practice-in-ada-county-100-financing/,,
strategic-profitable-florida-cardiology-practice-895k-100-physician-fi,Profitable Florida Interventional Cardiology Practice,,FL,,,,Other,Profitable Florida Interventional Cardiology Practice,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/profitable-florida-cardiology-practice-895k-100-physician-financing/,,
strategic-premier-florida-concierge-practice-with-450-patients,Premier Florida Concierge Practice with 450 Members,,FL,,,,Concierge,Premier Florida Concierge Practice with 450 Members,Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/premier-florida-concierge-practice-with-450-patients/,,
strategic-established-weight-loss-medical-practice-tulsa-ok,"REDUCED $350K! Weight Loss Practice-$649K Earnings, 100% Financing",,OK,,,,Other,"REDUCED $350K! Weight Loss Practice-$649K Earnings, 100% Financing",Strategic Medical Brokers,https://strategicmedicalbrokers.com/listing/established-weight-loss-medical-practice-tulsa-ok/,,
